,kalimat_id,kata,sense,kalimat,freq
25,1003958,mengeluarkan,2902,perdagangan kesultanan pasai mengeluarkan koin emas alat transaksi masyarakatnya mata uang deureuham,1
26,1003963,mengeluarkan,2902,visa mengeluarkan kartu memperpanjang kredit menetapkan tarif biaya konsumen,1
27,1003963,mengeluarkan,2902,visa mengeluarkan kartu memperpanjang kredit menetapkan tarif biaya konsumen visa menyediakan lembaga keuangan produk pembayaran bermerek visa menawarkan program kredit debit prabayar akses tunai pelanggan,2
28,1004109,mengeluarkan,2902,2012 mengangkat perekonomian kabupaten kulonprogo hasto wardoyo meluncurkan program bela beli kulonprogogerakan mengeluarkan kebijakan mewajibkan pelajar pns mengenakan seragam batik gebleg renteng batik khas kulonprogo,2
29,1004109,mengeluarkan,2905,gerakan mengeluarkan kebijakan mewajibkan pelajar pns mengenakan seragam batik gebleg renteng batik khas kulonprogo,1
30,1004651,mengeluarkan,2902,stalin mengeluarkan perintah gko no 227,1
31,1004651,mengeluarkan,2902,stalin mengeluarkan perintah gko no 5859ss menghimpun pemindahan tatar krimea,1
32,1004651,mengeluarkan,2902,stalin mengeluarkan perintah gko no5859ss berisi pemindahan orangorang tatar krimea,1
33,1004781,mengeluarkan,2901,memimpin pertandingan trinidad tobago melawan swedia mengeluarkan kartu merah turnamen pemain trinidad tobago avery john,2
34,1004781,mengeluarkan,2902,memimpin pertandingan trinidad tobago melawan swedia mengeluarkan kartu merah turnamen pemain trinidad tobago avery john,1
35,1004932,mengeluarkan,2901,ahli sihir firaun masingmasing mengeluarkan keajaiban melempar tali ular,1
36,1004932,mengeluarkan,2902,ahli sihir firaun masingmasing mengeluarkan keajaiban melempar tali ular,2
37,1006399,mengeluarkan,2901,perusahaan dianggap perusahaan multinasional dunia perusahaan mengeluarkan sistem pembagian saham,1
38,1006399,mengeluarkan,2902,perusahaan dianggap perusahaan multinasional dunia perusahaan mengeluarkan sistem pembagian saham,2
39,1006400,mengeluarkan,2902,kailmain mengeluarkan keputusan undangundang terpisah capitula de iudeis mengatur posisi orangorang yahudi hongaria,1
40,1006400,mengeluarkan,2902,kailman mengeluarkan keputusan undangundang terpisah capitula de iudeisyang mengatur posisi orangorang yahudi hongaria,1
41,1006400,mengeluarkan,2902,kalman mengeluarkan keputusan undangundang terpisah capitula de iudeisyang mengatur posisi orangorang yahudi hongaria,1
42,1006454,mengeluarkan,2901,menempatkan kepalamu mulut serigala mengeluarkannya selamat hadiah bagimu,1
43,1006454,mengeluarkan,2901,burung jenjang hadiahnya serigala menempatkan kepalamu mulut serigala mengeluarkannya selamat hadiah bagimu,2
44,1006483,mengeluarkan,2902,26 desember 1995 presiden soeharto mengeluarkan keppres no 82 proyek pengembangan lahan gambut plg juta hektar kalimantan,1
45,1006483,mengeluarkan,2902,26 desember 1995 presiden soeharto mengeluarkan keppres no90,1
46,1006483,mengeluarkan,2905,26 desember 1995 presiden soeharto mengeluarkan keppres no 82 proyek pengembangan lahan gambut plg juta hektar kalimantan,1
47,1006784,mengeluarkan,2901,1871 pemerintah kota banjarmasin mengeluarkan segel izin pembuatan rumah bubungan kampung sungai jingah rumah tertua dikeluarkan segelnya,1
48,1006784,mengeluarkan,2902,1871 pemerintah kota banjarmasin mengeluarkan segel izin pembuatan rumah bubungan kampung sungai jingah rumah tertua dikeluarkan segelnya,2
49,1006993,mengeluarkan,2902,1993 parlemen belgia mengeluarkan undangundang yurisdiksi universal mengizinkan pengadilan belgia menghakimi kejahatan perang kejahatan kemanusiaan genosida,2
50,1006993,mengeluarkan,2905,1993 parlemen belgia mengeluarkan undangundang yurisdiksi universal mengizinkan pengadilan belgia menghakimi kejahatan perang kejahatan kemanusiaan genosida,1
51,1007800,mengeluarkan,2901,son goku terpojok gohan berusia 4 marah mengeluarkan tenaganya angka scouter ranga 1000,1
52,1007800,mengeluarkan,2905,son goku terpojok gohan berusia 4 marah mengeluarkan tenaganya,1
53,1007800,mengeluarkan,2906,son goku terpojok gohan berusia 4 marah mengeluarkan tenaganya angka scouter ranga 1000,1
54,1007814,mengeluarkan,2902,arsyil berhasil berkarya dunia kepenulisan mengeluarkan 2 buku motivasi kehidupan,1
55,1007814,mengeluarkan,2902,berbagilah pertanggungjawabkanlah kehidupan arsyil berhasil berkarya dunia kepenulisan mengeluarkan 2 buku motivasi kehidupan,2
56,1007834,mengeluarkan,2902,sukses mengeluarkan single damai wayang merilis single 2015 mendaur ulang lagu berjudul kau pergi ditahun wayang kedatangan keyboardis bernama angga mengisi posisi wahyu adrianto angga additional musician mengisi rekaman lagu damai,2
57,1007834,mengeluarkan,2902,sukses mengeluarkan single damai wayang merilis single 2015,1
58,1008802,mengeluarkan,2902,749 aethelbald mengeluarkan carter membebaskan wilayahwilayah eklesiologi kewajiban kecuali kebutuhan membangun benteng jembatan kewajiban terletak orang trinoda necessitas,1
59,1008802,mengeluarkan,2902,749 æthelbald mengeluarkan carter membebaskan wilayahwilayah eklesiologi kewajiban kecuali kebutuhan membangun benteng jembatan kewajiban terletak orang trinoda necessitas,1
60,1008802,mengeluarkan,2905,749 æthelbald mengeluarkan carter membebaskan wilayahwilayah eklesiologi kewajiban kecuali kebutuhan membangun benteng jembatan kewajiban terletak orang trinoda necessitas,1
61,1008953,mengeluarkan,2902,terbentuk mengeluarkan 4 album a fresh start for something new killing me inside one reason rebirth a new beginning,1
62,1008953,mengeluarkan,2902,terbentuk mengeluarkan 4 album a fresh start for something new killing me inside one reason,1
63,1008953,mengeluarkan,2902,terbentuk mengeluarkan 4 album,1
64,1009294,mengeluarkan,2901,musa keesokan harinya masuk kemah hukum tampaklah tongkat harun keturunan lewi bertunas mengeluarkan kuntum mengembangkan bunga berbuahkan buah badam,2
65,1009294,mengeluarkan,2902,musa keesokan harinya masuk kemah hukum tampaklah tongkat harun keturunan lewi bertunas mengeluarkan kuntum mengembangkan bunga berbuahkan buah badam,1
66,1009468,mengeluarkan,2902,september 2010 mengeluarkan cddvd direkam langsung teatro lope de vega sevilla merayakan 15 kariernya penyanyi 15 años,1
67,1009468,mengeluarkan,2902,september 2010 mengeluarkan cddvd direkam langsung teatro lope de vega sevilla merayakan 15 kariernya penyanyi 15 aos,1
68,1009468,mengeluarkan,2902,september 2010 mengeluarkan cddvd direkam langsung teatro lope de vega sevilla merayakan 15 kariernya penyanyi,1
69,1009772,mengikat,2202,pasangan mudamudi galela tobelo telaga mengikat janji,2
70,1009772,mengikat,2203,pasangan mudamudi galela tobelo telaga mengikat janji,1
71,1009810,mengikat,2201,kebiasaan mengikat tzitzit,2
72,1009810,mengikat,2301,kebiasaan mengikat tzitzit,1
73,1009833,mengikat,2201,perakarannya mengikat nitrogen membantu memperbaiki kesuburan tanah,1
74,1009833,mengikat,2204,perakarannya mengikat nitrogen membantu memperbaiki kesuburan tanah,2
75,1009871,mengikat,2202,pertempuran yudistira diperbudak kekayaan kekayaannya korawa mengikat bisma,2
76,1009871,mengikat,2203,pertempuran yudistira diperbudak kekayaan kekayaannya korawa mengikat bisma,1
77,1009951,mengikat,2204,kelompok bakteri bersimbiosis tanaman kacangkacangan polong membentuk simbiosis mutualisme nodul bintil akar mengikat nitrogen bebas udara langsung kebanyakan organisme,2
78,1009951,mengikat,2301,kelompok bakteri bersimbiosis tanaman kacangkacangan polong membentuk simbiosis mutualisme nodul bintil akar mengikat nitrogen bebas udara langsung kebanyakan organisme,1
79,1009988,mengikat,2201,hidroksamat dipakai ditranspor sel mengikat ion logam besi,1
80,1009988,mengikat,2204,hidroksamat dipakai ditranspor sel mengikat ion logam besi,2
81,1010027,mengikat,2201,peter tenda doyle menemukan sylar mengikat kemampuan telekinesis tubuh doyle,2
82,1010027,mengikat,2301,peter tenda doyle menemukan sylar mengikat kemampuan telekinesis tubuh doyle,1
83,1010123,mengikat,2201,pemendekan rantai hidrofobik mengakibatkan poliena mengikat kolesterol toksik hewan,1
84,1010123,mengikat,2204,pemendekan rantai hidrofobik mengakibatkan poliena mengikat kolesterol toksik hewan,2
85,1010145,mengikat,2202,sejarah budaya mengikat kroasia slovenia eropa daerah laut terikat balkan,1
86,1010145,mengikat,2203,sejarah budaya mengikat kroasia slovenia eropa daerah laut terikat balkan,2
87,1010162,mengikat,2201,binding domain ortosterik memiliki homologi subtipenya sulit agonis antagonis mengikat sutipe,1
88,1010162,mengikat,2202,binding domain ortosterik memiliki homologi subtipenya sulit agonis antagonis mengikat sutipe,1
89,1010162,mengikat,2204,binding domain ortosterik memiliki homologi subtipenya sulit agonis antagonis mengikat sutipe,1
90,1010240,mengikat,2201,glukokortikoid struktur lipofilik prednisolon memudahkan melewati membran sel mengikat masingmasing reseptor glukokortikoid gcr terletak sitoplasma,1
91,1010240,mengikat,2204,glukokortikoid struktur lipofilik prednisolon memudahkan melewati membran sel mengikat masingmasing reseptor glukokortikoid gcr terletak sitoplasma,1
92,1010240,mengikat,2301,glukokortikoid struktur lipofilik prednisolon memudahkan melewati membran sel mengikat masingmasing reseptor glukokortikoid gcr terletak sitoplasma,1
93,1010272,mengikat,2202,sumpah setia kesediaan petani budak mengikat keturunannya,1
94,1010272,mengikat,2203,sumpah setia kesediaan petani budak mengikat keturunannya,2
95,1010295,mengikat,2203,fokus utama novel cerita dunia alternatif amerika serikat bisnis swasta menderita akibat hukum perundangundangan mengikat kaku,2
96,1010295,mengikat,2303,fokus utama novel cerita dunia alternatif amerika serikat bisnis swasta menderita akibat hukum perundangundangan mengikat kaku,1
97,1010340,mengikat,2201,hasilnya reaksi enzimatik berperilaku melanggar persamaan michaelismenten klasik peran mengikat katalisis enzimatik ditentukan eksperimental,1
98,1010340,mengikat,2204,hasilnya reaksi enzimatik berperilaku melanggar persamaan michaelismenten klasik peran mengikat katalisis enzimatik ditentukan eksperimental,2
99,1010401,mengikat,2203,biaya musdes pendapatan desa berasal beragam sumber hibah sumbangan mengikat ketiga,1
100,1010401,mengikat,2203,biaya musdes pendapatan desa berasal beragam sumber hibah sumbangan mengikat ketiga,1
101,1010401,mengikat,2303,biaya musdes pendapatan desa berasal beragam sumber hibah sumbangan mengikat ketiga,1
102,1010433,mengikat,2203,pyqt adalahlintas platform gui perangkatqtyang mengikat padapython diimplementasikan sebagaiplugin,1
103,1010433,mengikat,2203,pyqt lintas platform gui perangkat qt mengikat python diimplementasikan plugin,1
104,1010433,mengikat,2205?,pyqt lintas platform gui perangkat qt mengikat python diimplementasikan plugin,1
105,1010444,mengikat,2201,ditantang tino mengikat tangan arie,2
106,1010444,mengikat,2301,ditantang tino mengikat tangan arie,1
107,1010448,mengikat,2202,memorandum of understanding mengikat ditandatangani april 2006 konsesi operasi jaringan kcr mtrcl 50,1
108,1010448,mengikat,2203,memorandum of understanding mengikat ditandatangani april 2006 konsesi operasi jaringan kcr mtrcl 50,2
109,1010569,mengikat,2202,pendapat berbeda hukum peradilan tingkat pendapat hakim pernyataan memperlihatan ketidaksetujuan putusan penghakiman mayoritas hakim majelis hakim keputusan penghakiman sidang pengadilan pendapat dicantumkan amar keputusan dissenting opinion menjadikan preseden mengikat keputusan penghakiman,1
110,1010569,mengikat,2203,pendapat berbeda hukum peradilan tingkat pendapat hakim pernyataan memperlihatan ketidaksetujuan putusan penghakiman mayoritas hakim majelis hakim keputusan penghakiman sidang pengadilan pendapat dicantumkan amar keputusan dissenting opinion menjadikan preseden mengikat keputusan penghakiman,1
111,1010569,mengikat,2303,pendapat dicantumkan amar keputusan dissenting opinion menjadikan preseden mengikat keputusan penghakiman,1
112,1010611,mengikat,2202,gerakan dipelopori habib ali mengikat pemuka islam latar berbeda shaf lurus bersamasama menanggapi isu internasional suara bulat terpecahpecah,2
113,1010611,mengikat,2302,gerakan dipelopori habib ali mengikat pemuka islam latar berbeda shaf lurus bersamasama menanggapi isu internasional suara bulat terpecahpecah,1
114,1010625,mengikat,2204,energi mengikat senyawasenyawa sederhana senyawa kompleks,2
115,1010625,mengikat,2301,energi mengikat senyawasenyawa sederhana senyawa kompleks,1
116,1010665,mengikat,2204,lektin protein mengikat sel tubuh glikoprotein glikolipid terekspresi permukaan sel molekul glukosanya memiliki kemampuan sel menggumpal,1
117,1010665,mengikat,2204,lektin protein mengikat sel tubuh glikoprotein glikolipid terekspresi permukaan sel molekul glukosanya memiliki kemampuan sel menggumpal,2
118,1010684,mengikat,2201,hg senyawa anorganik mengikat karbon membentuk senyawa organomerkuri,1
119,1010684,mengikat,2204,hg senyawa anorganik mengikat karbon membentuk senyawa organomerkuri,2
120,1010702,mengikat,2201,eaat5 mengikat dlg4 domain pdz,1
121,1010702,mengikat,2204,eaat5 mengikat dlg4 domain pdz,2
122,1010757,mengikat,2201,thomas membuka pintu kemudi mobil mendapati angela menusuk matanya pulpen mengikat thomas mobil,2
123,1010757,mengikat,2301,thomas membuka pintu kemudi mobil mendapati angela menusuk matanya pulpen mengikat thomas mobil,1
124,1010768,mengikat,2201,hemoglobin mengikat mengubah warnanya merah kebiruan merah cerah,2
125,1010768,mengikat,2204,hemoglobin mengikat mengubah warnanya merah kebiruan merah cerah,1
126,1011047,mengisi,3202,mengisi kekosongan sintang mgr,1
127,1011047,mengisi,3204,mengisi kekosongan sintang mgr,1
128,1011047,mengisi,3204,mengisi kekosongan sintang mgr agus ditugaskan administrator apostolik ditahbiskannya penggantinya sintang mgr samuel oton sidin ofm cap,1
129,1011107,mengisi,3201,aplikasi bimatri dirilis 3 indonesia aplikasi teknologi informasi komunikasi mempermudah pengguna operator seluler tri mengisi ulang pulsa tri,2
130,1011107,mengisi,3203,aplikasi bimatri dirilis 3 indonesia aplikasi teknologi informasi komunikasi mempermudah pengguna operator seluler tri mengisi ulang pulsa tri,1
131,1011318,mengisi,3201,mengikuti audisi mengisi salah program komedi jawa pos media televisi jtv menang juara kondisi keuangan akbar meningkat,1
132,1011318,mengisi,3202,mengisi salah program komedi jawa pos media televisi jtv kondisi keuangan akbar meningkat,1
133,1011318,mengisi,3204,mengikuti audisi mengisi salah program komedi jawa pos media televisi jtv menang juara kondisi keuangan akbar meningkat,1
134,1011468,mengisi,3201,musso mengisi suara karakter utama peran barunya berbicara,1
135,1011468,mengisi,3203,senang musso dipakai mengisi suara karakter jeremy johnson,1
136,1011468,mengisi,3204,senang musso dipakai mengisi suara karakter jeremy johnson musso mengisi suara karakter utama peran barunya berbicara,1
137,1011471,mengisi,3202,aktivitas kesehariannya memenuhi undangan mengisi seminar ceramah,1
138,1011471,mengisi,3202,aktivitas kesehariannya memenuhi undangan mengisi seminar ceramah samping menulis novel pekerjaan utamanya menulis skenario sinetron sinemart rumah produksi menaungi karyakaryanya dunia perfilman persinetronan,2
139,1011673,mengisi,3201,adit sanggar ananda pionir sanggar anakanak aktif mengisi tayangan televisi iklaniklan tv media cetak sinetron drama misteri laga komedi,1
140,1011673,mengisi,3203,adit sanggar ananda pionir sanggar anakanak aktif mengisi tayangan televisi iklaniklan tv media cetak sinetron drama misteri laga komedi,1
141,1011673,mengisi,3204,adit sanggar ananda pionir sanggar anakanak aktif mengisi tayangan televisi iklaniklan tv media cetak sinetron drama misteri laga komedi,1
142,1011779,mengisi,3201,mengisi acara open mic diadakan komunitasnya memenuhi undangan komunitas stand up indo jabodetabek tampil ber stand up comedy nama dicky komika dikenal 2014,1
143,1011779,mengisi,3203,mengisi acara open mic diadakan komunitasnya memenuhi undangan komunitas stand up indo jabodetabek tampil ber stand up comedy nama dicky komika dikenal 2014,1
144,1011779,mengisi,3204,mengisi acara open mic diadakan komunitasnya memenuhi undangan komunitas stand up indo jabodetabek tampil ber stand up comedy nama dicky komika dikenal 2014,1
145,1011819,mengisi,3201,terbukti dosen pulung mengisi senggangnya comic pelaksana stand up comedy,1
146,1011819,mengisi,3202,terbukti dosen pulung mengisi senggangnya comic pelaksana stand up comedy,2
147,1011881,mengisi,3203,sekolah penyelenggara pendidikan menengah kejuruan diharapkan pemerintah masyarakat berupaya bertekad menghasilkan tenaga kerja tingkat menengah mengisi lapangan kerja tersedia tingkat regional nasional internasional,2
148,1011881,mengisi,3204,sekolah penyelenggara pendidikan menengah kejuruan diharapkan pemerintah masyarakat berupaya bertekad menghasilkan tenaga kerja tingkat menengah mengisi lapangan kerja tersedia tingkat regional nasional internasional,1
149,1011989,mengisi,3202,menteri pertanian estanislau da silva namanya diusulkan fretilin mengisi posisi perdana menteri,1
150,1011989,mengisi,3204,menteri pertanian estanislau da silva namanya diusulkan fretilin mengisi posisi perdana menteri,2
151,1012307,mengisi,3201,irna menyempatkan menulis menerjemahkan mengisi lembar ilmu pengetahuan anak tabloid nova,1
152,1012307,mengisi,3203,irna menyempatkan menulis menerjemahkan mengisi lembar ilmu pengetahuan anak tabloid nova,2
153,1012364,mengisi,3201,kali dipercayakan mengisi suara tokoh peran utama haruka anime kurogane communication,1
154,1012364,mengisi,3204,kali dipercayakan mengisi suara tokoh peran utama haruka anime kurogane communication,2
155,1012453,mengisi,3201,musim chabert mengisi suara meg episode yug ylimaf back to the pilot,1
156,1012453,mengisi,3203,musim suaranya diisi lacey chabert digantikan mila kunis musim chabert mengisi suara meg episode yug ylimaf back to the pilot,1
157,1012453,mengisi,3204,musim suaranya diisi lacey chabert digantikan mila kunis musim chabert mengisi suara meg episode yug ylimaf back to the pilot,1
158,1012565,mengisi,3201,dikenal mengisi acara televisi indonesia salah pemeran film setan facebook,1
159,1012565,mengisi,3202,dikenal mengisi acara televisi indonesia salah pemeran film setan facebook,1
160,1012565,mengisi,3204,dikenal mengisi acara televisi indonesia salah pemeran film setan facebook,1
161,1012604,mengisi,3201,menjalani kegiatan motivator adam khoo model freelance alya senang mengisi luangnya melukis,1
162,1012604,mengisi,3202,alya senang mengisi luangnya melukis,1
163,1012604,mengisi,3202,menjalani kegiatan motivator adam khoo model freelance alya senang mengisi luangnya melukis,1
164,1012627,mengisi,3201,perwakilan partai persatuan pembangunan mengisi perolehan kursi,1
165,1012627,mengisi,3204,perwakilan partai persatuan pembangunan mengisi perolehan kursi,2
166,1012634,mengisi,3202,agensi south club mengunggah video memiliki pemain bas mengisi posisi luang,1
167,1012634,mengisi,3204,agensi south club mengunggah video memiliki pemain bas mengisi posisi luang,2
168,1012650,mengisi,3201,kelompok jamur ganggang terkait dipindahkan mengisi kerajaan,1
169,1012650,mengisi,3203,plantae definisi mencakup kelompok terkait kelompok jamur ganggang terkait dipindahkan mengisi kerajaan,1
170,1012650,mengisi,3204,plantae definisi mencakup kelompok terkait kelompok jamur ganggang terkait dipindahkan mengisi kerajaan,1
171,1013187,mengisi,3201,linkin park proyek mengisi soundtrack film mall disutradarai joe hahn,2
172,1013187,mengisi,3203,linkin park proyek mengisi soundtrack film mall disutradarai joe hahn,1
173,1013270,mengisi,3201,mengisi suara tokoh aang serial animasi,1
174,1013270,mengisi,3204,mengisi suara tokoh aang serial animasi,1
175,1013270,mengisi,3204,mengisi suara tokoh aang serial animasi avatar the legend of aang,1
176,1013376,mengisi,3202,situlah budjana armand mengajak thomas mengisi permainan bass album terbaru gigi 1999,1
177,1013376,mengisi,3204,situlah budjana armand mengajak thomas mengisi permainan bass album terbaru gigi 1999,2
178,1013446,mengisi,3201,mengisi balon udara padat udara,1
179,1013446,mengisi,3201,benda mengapung udara ringan volume udara mengisi balon udara padat udara,2
180,1013457,mengisi,3201,1952 maskapai pembelian 5 armada douglas dc4 mengisi jalur disekitar timur diawali operasional amman jordania,2
181,1013457,mengisi,3204,1952 maskapai pembelian 5 armada douglas dc4 mengisi jalur disekitar timur diawali operasional amman jordania,1
182,1013701,mengisi,3201,mengisi bahan bakar mobil penuh,1
183,1013701,mengisi,3204,you and i terinspirasi hubungan gaga pacar gaga luc carl lagu tempo lambat berisi suara gitar elektrik piano gaga lange mengisi background vocal,1
184,1013701,mengisi,3204,yoü and i terinspirasi hubungan gaga pacar gaga lüc carl lagu tempo lambat berisi suara gitar elektrik piano gaga lange mengisi background vocal,1
185,1013900,mengisi,3201,autoloader mengatasi susahnya mengisi amunisi muncul tank pengisi manusia,2
186,1013900,mengisi,3201,autoloader mengatasi susahnya mengisi amunisi muncul tank pengisi manusia,1
187,1014040,menjaga,2701,menjaga kualitas uang rupiah kondisi layak edar masyarakat bank indonesia kegiatan pemusnahan uang,1
188,1014040,menjaga,2701,menjaga menjaga kualitas uang rupiah kondisi layak edar masyarakat bank indonesia kegiatan pemusnahan uang,1
189,1014040,menjaga,2704,menjaga menjaga kualitas uang rupiah kondisi layak edar masyarakat bank indonesia kegiatan pemusnahan uang,1
190,1014133,menjaga,2701,susu kerbau diperah puting susu dibersihkan air hangat menjaga kerbersihan susu merangsang puting susu,2
191,1014133,menjaga,2704,susu kerbau diperah puting susu dibersihkan air hangat menjaga kerbersihan susu merangsang puting susu,1
192,1014440,menjaga,2701,ustase menganggap islam bosniak agama menjaga kemurnian darah kroasia,1
193,1014440,menjaga,2701,ustae menganggap islam bosniak agama menjaga kemurnian darah kroasia,1
194,1014440,menjaga,2703,ustaše menganggap islam bosniak agama menjaga kemurnian darah kroasia,1
195,1014533,menjaga,2702,direktur dokumentasi snte stéphane dieu berkomentar januari 2005 bertujuan menjaga penggunaan komersial gambar caracara setujui,1
196,1014533,menjaga,2703,direktur dokumentasi snte stephane dieu berkomentar januari 2005 bertujuan menjaga penggunaan komersial gambar caracara setujui,1
197,1014533,menjaga,2703,direktur dokumentasi snte stphane dieu berkomentar januari 2005 bertujuan menjaga penggunaan komersial gambar caracara setujui,1
198,1014570,menjaga,2701,menjaga kesehatan ternak kabupaten bintan 5 orang dokter hewan dibantu paramedis veteriner ditunjang 2 buah sarana pos kesehatan hewan poskeswan berlokasi desa sri bintan desa ekang anculai kecamatan teluk sebong,1
199,1014570,menjaga,2704,menjaga kesehatan ternak kabupaten bintan 5 orang dokter hewan dibantu paramedis veteriner ditunjang 2 buah sarana pos kesehatan hewan poskeswan berlokasi desa sri bintan desa ekang anculai kecamatan teluk sebong poskeswan kabupaten bintan rumah potong hewan unggas rphu berlokasi kecamatan bintan utara,2
200,1014651,menjaga,2701,komisioner pelabuhan mengatur hilir arun arundel laut 1732 peningkatan menjaga kawasan muara terbebas endapan didukung undangundang 1793,2
201,1014651,menjaga,2704,komisioner pelabuhan mengatur hilir arun arundel laut 1732 peningkatan menjaga kawasan muara terbebas endapan didukung undangundang 1793,1
202,1014811,menjaga,2701,pendeta konseling pastoral wajib menjaga rahasia jemaat percakapan konseling pastoral,2
203,1014811,menjaga,2704,pendeta konseling pastoral wajib menjaga rahasia jemaat percakapan konseling pastoral,1
204,1015084,menjaga,2701,keluarga besarnya vakum menjaga jarak penguasa pakubuwana vii viii,2
205,1015084,menjaga,2704,keluarga besarnya vakum menjaga jarak penguasa pakubuwana vii viii,1
206,1015303,menjaga,2702,djing tie menjaga keamanan penduduk,2
207,1015303,menjaga,2703,djing tie menjaga keamanan penduduk,1
208,1015546,menjaga,2701,kebijakan pertahanan nasional bertujuan menjaga kemerdekaan kekuasaan republik makedonia lahan angkasa daerah republik makedonia,2
209,1015546,menjaga,2703,kebijakan pertahanan nasional bertujuan menjaga kemerdekaan kekuasaan republik makedonia lahan angkasa daerah republik makedonia,1
210,1015603,menjaga,2701,teks 1853 meliputi tujuan menjaga hubungan pasifis sukusuku indian mempromosikan konversi katolik dihapus reformasi,2
211,1015603,menjaga,2701,teks 1853 meliputi tujuan menjaga hubungan pasifis sukusuku indian mempromosikan konversi katolik dihapus reformasi,1
212,1015740,menjaga,2701,pertempuran asfeld 552 membunuh turismodus putra raja gepid turisindus kemenangan mengakibatkan campur kaisar yustitianus menjaga keseimbangan persaingan kekuatan regional,2
213,1015740,menjaga,2703,pertempuran asfeld 552 membunuh turismodus putra raja gepid turisindus kemenangan mengakibatkan campur kaisar yustitianus menjaga keseimbangan persaingan kekuatan regional,1
214,1016219,menjaga,2701,sunil pengabdi setan digarap ide cerita naskah penyutradaraan joko anwar membutuhkan anggaran dibanding film horor bertekad menjaga nuansa era 1980an film aslinya,2
215,1016219,menjaga,2703,sunil pengabdi setan digarap ide cerita naskah penyutradaraan joko anwar membutuhkan anggaran dibanding film horor bertekad menjaga nuansa era 1980an film aslinya,1
216,1016269,menjaga,2702,tujuannya mempertahankan kota menjaga istananya terletak dekatnya gunung sion,1
217,1016269,menjaga,2703,tujuannya mempertahankan kota menjaga istananya terletak dekatnya gunung sion,1
