,kalimat_id,kata,sense,kalimat
44,1012225,mengisi,3203,berpandangan seks pasangan menyebabkan mengisi qi masingmasing
45,1012687,mengisi,3201,shinchan ony mengisi suara tokoh anime lee shaoran cardcaptor sakura 1 kuro cyborg kurochan bakabon si jenius bakabontensai bakabon ikyu ikyu san krishna little krishna
46,1014103,menjaga,2702,jenis anjing punah namanya diteruskan jenis anjing spanyol alano tradisional berburu babi hutan menjaga ternak
47,1015092,menjaga,2704,wayang kulit cirebon memegang kesinambungan praislam islam bentuknya ukirannya pemasukan unsurunsur kaligrafinya menjaga harmonisasi menjadikan wayang kulit cirebon duta diplomasi diplomasi mempertemukan menyatukan warisan leluhur aneka budaya kisah epik hindu budha india ajaran islam isu kontemporer hiburan modern media teknologi seni kerajinan tradisional
48,1015644,menjaga,2703,menikah terpaksa menunda mimpinya penyanyi menjaga mengurus anak pertamanya rumah
49,1015820,menjaga,2703,tandatanda kemunculan penculik orang dibiarkan menebaknebak penyelidikan rahasia publik menjaga penculik panik
50,1017600,menjaga,2703,kronos berkuasa menempatkan drakaina kampe menjaga makhlukmakhluk dikurung tartaros
51,1017783,menjaga,2701,menjaga kelanggengan hubungan kampung imam kampung raja ditetapkanlah etika sultan badarruddin syaban bin sanga pelaksanaan ritualritual keagamaan kampung islam tertua pulau timor kampung solor airmata
52,1018182,menjaga,2702,harry potter and the order of the phoenix terungkap mrs figg squib ditugasi dumbledore menjaga harry
53,1018283,menjaga,2701,menenun kemampuan diajarkan turun menurun menjaga dilestarikan
54,1018397,menjaga,2701,kebanyakan organisme asidofilik mengembangkan mekanisme efisien memompa proton ruang intraseluler menjaga sitoplasma mendekati ph netral
55,1018896,menjaga,2701,sisi pengajar menjaga mutu sesuai tujuan utama pendiri ijazah th bandung setara th delft
56,1019008,menurunkan,2101,melanggar ketentuan allah menurunkan bumi
57,1019249,menurunkan,2102,uap air membentuk awan memantulkan cahaya matahari angkasa menurunkan proses pemanasan lihat siklus air
58,1019301,menurunkan,2102,pendidikan seks komprehensif akses alat kontrasepsi efektif menurunkan angka kehamilan kelompok usia
59,1019306,menurunkan,2102,penurunan suhu udara menurunkan suhu air ikan stres nafsu makan daya tahan tubuh menurun
60,1019393,menurunkan,2102,ringkasnya rizki menyembuhkan penyakit menolak marabahaya manfaat membahagiakan menyengsarakan menjadikan miskin kaya menghidupkan mematikan meluluskan ujian menaikkan menurunkan pangkat jabatan kecuali allah
61,1019969,menurunkan,2105,keturunan eber dilahirkanlah abraham daud menurunkan yesus
62,1020277,menurunkan,2102,pengukuran berulang kali kecepatan radial proxima centauri pergeseran menurunkan massa maksimum dimiliki pengiring proxima centauri
63,1020367,menurunkan,2102,orang kardinal pemilih julius riyadi darmaatmadja keith michael patrick obrien memilih berpartisipasi masingmasing alasan kesehatan pribadi menurunkan kardinal pemilih hadir 115
64,1020376,menurunkan,2101,rintang tengkoraknya mengindikasikan jambul tertata burung kakatua mengembang menurunkannya
65,1020463,menurunkan,2102,keberadaan magnesium 1535 menurunkan titik lebur logam paduan drastis 660 oc 450 oc
66,1020646,menurunkan,2102,effektifitas red yeast rice menurunkan kolesterol diuji klinis 17 riset tiongkok
67,1020736,menurunkan,2101,roda ke5 langsung digerakkan mesin menjalankan mobil mengangkat roda penggerak mesin udara mesin menyala sopir menurunkan mesin tuas lembut gerakan maju
68,1020742,menurunkan,2105,anak perempuan bisri syansuri menikah kh wahid hasyim menurunkan kh abdurrahman wahid irh
69,1020782,menurunkan,2105,nama naiambaton raja nabolon raja sitempang menurunkan margamarga masuk kelompok parna
70,1020856,menurunkan,2102,penggunaan burung hantu menurunkan serangan tikus tanaman kelapa sawit muda 5 persen
71,1020898,menurunkan,2102,bakteribakteri resisten antibiotik betalaktam memiliki 3 mekanisme resistensi destruksi antibiotik betalaktamase menurunkan penetrasi antibiotik berikatan protein transpepidase menurunkan afinitas ikatan protein pengikat senyawa antibiotik
72,1021002,menurunkan,2105,abad 17 tari topeng desa beber dibawa seniman gegesik cirebon bernama setian ahli dalang topeng cirebon gaya beber mimi yayah ki dalang kardama kali membawa tarian topeng desa beber tari topeng cirebon gaya beber mimi sonten surawarcita berasal gegesik menurunkan generasi seniman
73,1021044,menurunkan,2102,peningkatan magnesium menurunkan kalsium mencegah hiperkalsemia menyebabkan hipokalsemia tergantung tingkat
74,1021199,menurunkan,2102,direktur cityjet hasil negatif level operasional berlanjutnya kondisi ekonomi buruk menurunkan penumpang kanaikan harga pelemahan nilai mata uang buruk
75,1021330,menurunkan,2102,fitoremediasi konsentrasi polutan tanah terkontaminasi mitigasi air udara tanaman menurunkan menghilangkan logam pestisida pelarut bahan peledak minyak mentah turunannya kontaminan media mengandung
76,1021541,menyusun,2401,pengguna scratch program project menyusun menumpuk balokbalok visual perintah mengatur tingkah laku komponenkomponen program dikenal sprite
77,1021908,menyusun,2403,menyusun sekurangkurangnya buah novel otobiografi wafat 1979 moskwa
78,1022043,menyusun,2402,jiedushi memiliki kekusaan eksternal kuat hak menyusun tentaranya menarik pajak mengusulkan mengangkat pejabat
79,1022080,menyusun,2402,terkait penetapan daratan eurasia pusat kekuasaan dunia brzezinski menyusun geostrategi eurasia amerika serikat
80,1022445,menyusun,2402,pemberontakan berhasil dipadamkan penguasa daerah jenderal menyusun kekuatan rivalitas rajaraja perang menandai dinasti han
81,1022595,menyusun,2403,periode zaman weda zaman dimana literaturliteratur weda ditulis 1500 500 sm peradaban india mengenal pola perubahan musim konstelasi bendabenda langit menyusun kalender kuno memetakan perubahan musim
82,1023334,menyusun,2403,vernon parrington menyusun kanon sastra amerika mengutuk james memisahkan amerika
83,1023618,menyusun,2402,mayor oerip diangkat kepala staf pangkat letnan jenderal oerip menyusun organisasi markas tertinggi tkr mttkr meniru departemen peperangan hindia belanda
84,1023802,nilai,1501,perbandingan nilai tukar mata uang won dolar as codice_3 16 juli 2013 xecom
85,1024098,nilai,1503,nilai ketelitian tercermin proses upacara
86,10245,atas,4407,manning didakwa atas 22 pelanggaran membantu musuh membuatnya hukuman mati
87,1024726,nilai,1503,ulasan koran menggoyang kepala orang bertentangan nilai budaya filmfilm pribumi film menandakan kemajuan industri perfilman
88,1025656,nilai,1501,nilai proyek digelar 2011 raja abdullah mencapai 266 miliar dolar as
89,1026845,nilai,1502,pertandingan catur kemenangan nilai 1 seri remis kalah memperoleh nilai
90,1027058,nilai,1503,fungsi menginang tata pergaulan tata nilai kemasyarakatan
91,1027251,nilai,1502,seri harry potter harry potter orde phoenix harry melanjutkan kelas newt ramuan guru ramuan profesor snape mensyaratkan nilai o outstandingmengagumkan
92,1030805,nilai,1503,altman berbicara nilainilai teori kemajuan pemikiran memasukkan berbeda tingkat kombinasi peserta proses komunikasi altman 2002
93,1032572,nilai,1501,negaranegara sebelah utara garis kaya memperdagangkan barang negaranegara sebelah selatan garis miskin memperdagangkan barang nilai ekspornya
94,1034282,nilai,1504,suhu tekanan dipilih bebas dikutip nilainilai konstanta loschmidt
95,103565,baru,3901,mesin perang dunia ii tank berat jerman panther jagdpanther tiger ii jagdtiger hl230 p30 versi baru untuktiger i sturmtiger hl230 p45
96,1036677,nilai,1502,ditawari beasiswa kuliah imperial college london jurusan ilmu aerodinamika nilai matematika fisikanya duduk bangku sekolah bagus
97,1037135,nilai,1501,pemerintah mengurangi pengeluaran memperkenalkan pajak pertambahan nilai
98,1038920,nilai,1502,nilai olga jeblok
99,1039082,nilai,1501,jajang cina pusaka suci ternilai harganya fragmen tengkorak sakyamuni buddha mangkuk pengemis kayu jubah monastik buddha 100 sarira buddha mutiara manikmanik kristal konon ditemukan abu kremasi guru spiritual buddha
100,1039926,nilai,1501,abad ke13 yerusalem mengalami penurunan status desa jatuhnya nilai strategis kota pergulatan internal ayyubiyyah
101,1040613,nilai,1504,notasi ilmiah penulisan nomor mengakomodasi nilainilai mudah ditulis notasi desimal standar
102,1040718,nilai,1503,1993 bangunan renovasi mempertahankan nilai sejarah bentuk asli arsitektur kolonialnya
103,1040958,nilai,1504,kondisi nol manikmanik menempel garis nilai
104,1043553,panas,4901,pierre louis dulong lahir 12 february 1785 meninggal 19 juli 1838 fisikawan kimiawan apoteker perancis at petit louis dulong mencetuskan hukum dulong petit produk massa atom panas jenis zat padat
105,1043721,panas,4905,ajaran alquran masalahmasalah perang damai topik diskusi panas
106,1044626,panas,4903,pertimbangan gerilyawan tibet memindahkan markas besarnya dusun mustang yangberlokasi perbatasan nepal musim panas 1960 2000 orang gerilyawan dibentuk cia tujuh kelompok
107,1045094,panas,4906,terlibat hubungan asmara panas muda kayaraya
108,1045473,panas,4903,holmqvistit jenis mineral batu ditampilkan utö gruvmuseum dibuka musim panas sore
109,1046057,panas,4903,musim dingin danau terisi air musim panas airnya menguap menyisakan kerakkerak garam
110,1046644,panas,4903,musim panas 1979 rating siaran berita model menanjak
111,1046689,panas,4904,roti bakar panas rangup keras menampung hias
112,1047043,panas,4903,remake drama televisi jepang my boss my hero disiarkan nippon tv musim panas 2006
113,1047117,panas,4903,musim panas cerah suhu ratarata 16 c 27 c 38 c gelombang panas
114,1047484,panas,4903,kepemimpinannya indonesia memenangkan medali emas kejuaraan dunia guangzhou cina 2013 2 gelar all england 2013 2014 juara southeast asian games 2013 2015 2 gelar juara 2014 asian games incheon korea selatan 1 gelar juara olimpiade musim panas 2016 rio de janeiro brasil
115,1047728,panas,4903,rooney skuad tim everton kamp pelatihan austria musim panas 2002 mencetak gol pertamanya tim senior kemenangan 31 sc weiz tanggal 15 juli
116,1048343,panas,4903,musim panas 1877 kehidupan terganggu adelaide nansen wafat mendadak
117,1048400,panas,4903,provinsi beriklim benua matahari terik kering musim panas hangat musim dingin relatif dingin
118,1048745,panas,4904,cokelat panas memiliki kalori lemak jenuh gula
119,1048908,panas,4901,samping dudukuy tutup kepala terbuat tumbuhtumbuhan bambu kayu daun berfungsi pelindung kepala panas hujan
120,1049083,panas,4904,awan hitam terbentuk udara panas kobaran api
121,1049120,panas,4903,versi asli i am a rock kali dirilis the paul simon songbook musim panas 1965 dirilis singel satusatunya album
122,1049519,pembagian,3701,unsur subyektif membantu perbedaan kodeks masoret detail pembagian bagianbagian derajat konformitasnya
123,1049578,pembagian,3702,perhatikan hasil pembagian bilanganbilangan deret fibonacci
124,1050134,pembagian,3704,tionghoa kamboja memiliki pengaruh ekonomi kamboja memiliki pembagian darinya
125,1050284,pembagian,3701,belanda merestrukturisasi pembagian administratif belu 191516 mencoba penguasa tradisional zelfbestuurders raja pengawasan kolonial
126,1050347,pembagian,3701,daftar keuskupan kamboja daftar memuat menjabarkan pembagian wilayah administratif gereja katolik roma dipimpin uskup ordinaris kamboja
127,1050595,pembagian,3705,pembagian tanah tuan tanah membaginya klen margamarga ditentukan
128,1050933,pembagian,3701,sudut isinya pembagian pupuhpupuh rapi
129,1051353,pembagian,3701,kampung pembagian wilayah administratif kabupaten provinsi lampung indonesia kecamatan
130,1051461,pembagian,3704,pengawahutanan penyelewengan kuasa pemerintahan political corruption kalangan lembaga pemerintah ketidakadilan pembagian kekayaan wealth kekuasaan pertumbuhan penduduk ledakan penduduk overpopulation pengkotaan urbanization
131,1051536,pembagian,3701,pembagian ayat bahasa indonesia ayat 18 yunani apestalken me mengutus tanda sisanya ditempatkan ayat 19
132,1051537,pembagian,3701,pembagian ayat bahasa indonesia ayat 19 teks textus receptus ditempatkan ayat 18 ayat 19 textus receptus berisi frasa memberitakan rahmat tuhan
133,1051687,rapat,4601,permohonan diterima ditindaklanjuti rapat lembaga badan musyawarah desa bamudes hasil mufakat tanah seluas 800 m2 sawah bias ditempati olah madrasah ibtidaiyah muhammadiyah grogol i status hak pakai bangunan
134,1051903,rapat,4601,pemilihan dekan rapat senat fakultas universitas berbedabeda keanggotaannya tergantung statutaanggaran rumah tangga masingmasing
135,1052696,rapat,4601,21 mei 1925 mengikuti rapat kampus profesor ueno mendadak meninggal dunia
136,1052906,rapat,4601,september 2010 berbicara rapat servicemembers legal defense network 4the14k deering oaks park portland maine
137,1052988,rapat,4602,brokoli dimakan kepala bunga berwarna hijau tersusun rapat cabang pohon batang tebal
138,1053040,rapat,4601,gapi berdiri tanggal 21 mei 1939 rapat pendirian organisasi nasional jakarta
139,1053590,sarung,1201,usaha peternakan sapi sapinya daging sapi potong perkebunan tebu hasilnya diolah gula perkebunan karet lateksnya dijadikan kondom sarung tangan
140,1053645,sarung,1201,bulu kucing mantel sarung tangan topi sepatu selimut boneka mainan
141,1053650,sarung,1202,harga sarung tenun pagatan tergantung jenis motifnya bagus bahan motifnya mahal harganya
142,1053692,sarung,1202,produksi sarung goyor berpusat dukuh wonosari
143,1053724,sarung,1201,pelempar fielder memakai seragam pemukul wicketkeeper memakai tambahan aksesoris pelindung mencakup helm sarung tangan bantalan kaki
144,1053751,sarung,1201,kulit menyusut terkena api penggunaannya sarung tangan balap terbatas daerah sentuhan tangan
145,1053773,sarung,1201,antartindak pilotdantampilan memanfaatkan sentuhan pilot sarung tangan kulit berlapis sutera
146,1053896,sarung,1202,saatsaat proses audisi usaha distribusi kain sarung berjualan ayam goreng tmp kalibata jakarta
147,1053983,sarung,1201,logam memakai sepatu memicu percikan pakaian karet tahan api sarung tangan karet celemek kaca mata pelindung masker gas
148,1054067,sarung,1201,babs kelinci betina muda berwarna pinkputih mengenakan blus kuning rok ungu pita berwarna ungu terkadang biru ujung telinganya terkadang memakai sarung tangan putih
149,1054245,tengah,430b,churchill konservatif percaya posisi inggris kekuatan dunia bergantung keberlangsungan imperiumnya ditentukan terusan suez inggris mempertahankan posisi unggulnya timur tengah kehilangan india
150,1054261,tengah,430b,ahmad husein ketua dewan banteng mengambil alih jabatan gubernur sumatera tengah tangan gubernur ruslan mulyoharjo
151,1054796,tengah,4301,mengecek kedataran diperhatikan gelembung cairan alat pengukur tengah alat waterpass
152,1056957,tengah,4301,burung burung penetap australia pulau indonesia tengah timur
153,1058083,tengah,430b,pscs cilacap musim 2015 bereuni rekan rekannya membela tim sepak bola jawa tengah ajang pon xviii nur yulianto fauzan fajri rizkyozilyulian
154,105849,baru,3901,peristiwa seattle 1999 pengulangan revolusi buruh seattle 1919 dunia membuka mata gerakan sosial baru menolak kapitalisme barbar
155,1060825,tengah,430b,puncak kekhalifahan abbasiyah kedelapan abad kesembilan asia tengah mawannahr mengalami zaman keemasan benarbenar
156,1061295,tengah,4301,curah hujan tahunan mengikis lembah tengah pegunungan mengukir jurang air terjun indah
157,1063116,tengah,4301,mayorian aegidius menemukan posisi romawi masuk wilayah gaul meninggalnya mayor major 461 posisi romawi tengah selatan memburuk
158,1065308,tengah,4301,lambang kota jambi berbentuk perisai meruncing dikelilingi garis warna putih tengah berwarna hijau berwarna putih
159,1065574,tengah,4304,geografis desa pugeran strategis terletak persimpangan jalan provinsi kabupaten wisata pacet tengah berkembang potensi pertanian produktif
160,1069541,tengah,430b,bermukim daerah wilayah tenggara iran barat pakistan dimana jalur perdagangan timur tengah lembah sungai indus
161,1069945,tengah,4304,pengurus wilayah ppp protes lantaran sikap suryadharma dianggap melecehkan usaha tengah dibangun kader akar rumput kader ppp berjuang memenangkan ppp suryadharma membelot partai
162,1073282,tinggi,5105,penggabungan lembaga pendidikan penelitian jerman direncanakan model institusi pendidikan tinggi keterkaitan erat dunia akademik riset
163,1079517,tinggi,5105,tinggi akademik peringkat kebawah kelasnya
164,1081518,tinggi,5103,daratan tiongkok sebelah barat tinggi dibandingkan timur sungaisungai mengalir tenggara
165,1085785,tinggi,5101,kelly orang percaya mistis kelly tinggi 173 cm menggunakannya mengecewakan orang
166,1095541,tinggi,5105,la membangun biara darwis perguruan tinggi madzhab syafii hanafi perpustakaan observatorium gedunggedung
167,1096922,tinggi,5101,penambahan tinggi konstruksi bangunan utama menara tiang pemancar telekomunikasi
168,1101784,tinggi,5106,biaya pelacur bervariasi tinggi pelacur
169,112778,baru,3901,konsep baru membingungkan pengguna analis salah pendiri google sergey brin menyadari data lakukan tinggal komputer pribadi diakses mesin menjalankan sistem operasi
170,11352,atas,4402,1880 procter gamble memasarkan produk sabun mengambang atas air
171,115739,baru,3902,wali kota petaling jaya dato ahmad termizi puteh menerajui dewan kota petaling jaya mbpj baru didirikan
172,128990,berat,5206,2003 2012 menipu 5 orang penggemar berat super1
173,129049,berat,5201,perbedaan massa berat pengukuran berpresisi
174,129521,berat,5204,menyetujuinya berat hati frederick ii prusia catherine ii rusia melakukannya persetujuan austria
175,135525,besar,5402,galaigalai sejati perdana triakonter harfiah berdayung puluh pentekonter berdayung puluh dikembangkan rancanganrancangan galai perdana tolok ukur rancanganrancangan kapal besar
176,144272,besar,5402,jalan ridwan rais arah patung pahlawan gedung kementerian perdagangan jakarta pusat tragedi kecelakaan besar 22 januari 2012 1112 siang wanita bernama afriyani susanti
177,1446,asing,5302,organisasi dibentuk mengkoordinasikan operasi bantuan negara asing program keamanan nonmiliter amerika serikat
178,145972,besar,5402,total tubuhnya mencapai 15 m warna dasar tubuhnya kuning kecokelatan kepala berbentuk segitiga 3 buah bintik besar berwarna coklat tua
179,163828,besar,5403,identitas kelompok perdebatan turki besar orang muslim trakia barat orang turki yunani orangorang pomak orangorang lokal muslim mengadopsi identitas bahasa turki utsmaniyah
180,167681,besar,5403,besar muslim turki mengikuti paham sunni dalah kaum syiah sekte alevi jafari alawi
181,169856,besar,5403,berbeda besar sisa perjanjian teks mazmur amiatinus dianggap saksi inferior karya hieronimus versio juxta hebraicum kehadiran rangkaian columba judul mazmur ditemukan cathach st columba mazmur irlandia sumbernya teks berbeda naskah irlandia terbaik
182,1710,asing,5302,film annaud black and white in color 1976 meraih academy award film berbahasa asing terbaik
183,175,asing,5302,pemerintah nepal 2011 pariwisata nepal berharap menarik juta wisatawan asing negara
184,196633,besar,540b,terletak provinsi polandia besar 1999 provinsi leszno 19751998
185,203576,bidang,1802,perlis melanjutkan studinya bidang matematika mit meraih gelar master 1949 phd 1950
186,204070,bidang,1802,konflik akibat perbedaan kepentingan bidang politik ekonomi sosial budaya
187,204744,bidang,1802,dikeluarkannya peraturan melarang pegawai negeri sipil pns berpolitik anak melepaskan kariernya bidang akademik berkiprah dunia politik detik
188,204998,bidang,1802,elis lulus sekolah pendidikan guru spg melanjutkan studi jurusan sastra sunda fakultas sastra unpad jalur penerimaan minat kemampuan pmdk mengambil bidang linguistik berhasil lulus predikat cum laude 1986 skripsinya berjudul bahasa sunda dialek kabupaten tasikmalaya
189,206667,bidang,1802,aktif kegiatan kemasyarakatan kuliah organisasi agus memiliki usaha mandiri bergerak bidang limbah besi tua rintis istrinya 2014 cv karunia baja
190,206701,bidang,1802,1981 mempelajari hukum vrije universiteit amsterdam dimana gelar llmnya bidang filsafat hukum 1986
191,206703,bidang,1802,aplikasi sinyal video televisi aplikasi bidang teknik saintifik produksi keamanan
192,209561,bidang,1802,menyelesaikan studi bidang fashion editing perguruan editor stylist majalah popeye
193,210269,bidang,1802,topiknya berkisar bidang keahlian mencerminkan zaman romawi ilmu konstruksi mencakup bidang beragam
194,210579,bidang,1802,up menghasilkan 15000 dokter 15000 insinyur 8000 pengacara 23000 guru ribuan lulusan bidang keilmuan menjadikan alumninya hidup 260000 orang dunia
195,210913,bidang,1802,penghargaan dianggap salah penghargaan arsitektur utama dunia penghargaan nobel bidang arsitektur
196,211005,bidang,1802,kompetensi mengajar kemampuan penguasaan materi bidang studi memadukannya metodologi pembelajaran teoretik praktik diimplementasikan proses pembelajaran
197,212580,bidang,1802,wawancara direkam kematiannya bourdieu bukunya bidang politik travail et travaileurs 1963 les heeritiers 1964
198,212807,bidang,1802,mayoritas penduduknya bergerak bidang pertanian
199,213145,bidang,1802,rombongan orang champa beragama budha dikenal piawai bidang kesenian membatik menari perhiasan emas peralatan kuningan
200,214370,bidang,1802,konsep kontrol bidang ilmu psikologi 1977 istilah efikasi
201,215347,bidang,1802,kepakarannya bidang geologi dihormati dunia internasional
202,215964,bidang,1802,kebutuhan sarjana bidang gizi kualitas prima kuantitas kecenderungan peningkatan peminat bidang studi gizi fkm ui meningkat 100 2007 dibanding
203,216082,bidang,1802,semenjak huruhara mei 1998 pasukan anti huruhara phh menerima latihan anti huruhara khususdan menerus pembaharuan bidang materi pelaksanaan pasukan huruharaphh
204,217146,bidang,1802,bidang geografi manusialingkungan ekologi budaya politik penelitian risikobencana
205,217264,bidang,1802,1993 menyelesaikan pendidikan spesialisasinya bidang administrasi manajemen universitas harvard
206,218,asing,5302,orang asing tertarik pusat perbelanjaan kehidupan malam
207,219154,bidang,1802,american idol musim kesembilan kelanjutan tayangan reality show bidang bernyanyi diselenggarakan fox kesembilan kalinya 12 januari 2010 26 mei 2010
208,220388,bidang,1802,padang ekspres berkembang cepat didukung tenagatenaga muda terampil bidang jurnalistik strata pendidikan terendah si
209,221852,bidang,1802,program studi utama dikembangkan sekolah bidang ilmu ekonomi jurusan manajemen akuntansi tahap beikutnya jurusan ilmu ekonomi studi pembangunan
210,222385,bidang,1802,pelit berbagi ilmunya guru pelatihan bidang komunikasi
211,222699,bidang,1802,bidang pelayaran radar mengatur jalur perjalanan kapal kapal berjalan lalang jalurnya masingmasing bertabrakan cuaca cuaca berkabut
212,223698,bintang,0701,m66 memanjang 95 ribu cahaya jalur debu mencolok gugus bintang terang lengan spiral
213,224411,bintang,0702,juara bintang radio televisi diraihnya festival 1983
214,226018,bintang,0703,daun muda ranting karangan bunga dihiasi rambut bintang rapat pendek berwarna perak mentega bertabur tepung
215,226317,bintang,0702,2011 majalah complex menempatkannya peringkat 94 daftar 100 bintang porno top terlaris
216,226834,bintang,0702,bintang bermain film warner baxter billie dove douglas fairbanks jr film mengambil latar death valley national park kota hantu rhyolite nevada
217,226922,bintang,0702,bintang bermain film mildred harris clara bow charles emmett mack tyrone power sr film dirilis tanggal 12 september 1923 dianggap film hilang
218,227850,bintang,0701,penelitian etnografi kepulauan caroline mikronesia mengungkap fakta metode navigasi bintang tradisional seharihari
219,22934,atas,4407,asisten centre national de la recherche scientifique as atas beasiswa rockefeller memungkinkannya mengunjungi perguruan uppsala oslo 19491950
220,229367,bintang,0701,claude ptolemy menempatkan bintang rasi andromeda almagest dipindahkan rasi perseus johann bayer ditetapkan upsilon persei
221,229829,bintang,0701,ditetapkan alpha magnitudo 432 bintang redup dibandingkan beta comae berenices
222,230194,bintang,0701,omicron geminorum gem geminorum salah bintang rasi gemini
223,230410,bintang,0701,gamma leonis leo leonis bintang ganda rasi leo
224,230596,bintang,0701,delta librae lib librae salah bintang rasi libra
225,231189,bintang,0703,lambang turki oval merah mengandung sabit bintang bendera turki dikelilingi nama resmi negara bahasa turki
